,a,b,c,alpha,beta,gamma,structure
H,4.7,4.7,3.4,1.5708,1.5708,2.0944,hcp
He,4.242,4.242,4.242,1.5708,1.5708,1.5708,fcc
Li,3.51,3.51,3.51,1.5708,1.5708,1.5708,bcc
Be,2.2858,2.2858,3.5843,1.5708,1.5708,2.0944,hcp
B,5.06,5.06,5.06,1.01334,1.01334,1.01334,Simple Trigonal
C,2.464,2.464,6.711,1.5708,1.5708,2.0944,hcp
N,3.861,3.861,6.265,1.5708,1.5708,2.0944,hcp
O,5.403,3.429,5.086,1.5708,2.313085,1.5708,bcm
F,5.5,3.28,7.28,1.5708,1.5708,1.5708,bcm
Ne,4.429,4.429,4.429,1.5708,1.5708,1.5708,fcc
Na,4.2906,4.2906,4.2906,1.5708,1.5708,1.5708,bcc
Mg,3.2094,3.2094,5.2108,1.5708,1.5708,2.0944,hcp
Al,4.0495,4.0495,4.0495,1.5708,1.5708,1.5708,fcc
Si,5.4309,5.4309,5.4309,1.5708,1.5708,1.5708,Tetrahedral Packing
P,11.45,5.503,11.261,1.25384,1.57725,1.24896,Simple Triclinic
S,10.437,12.845,24.369,1.5708,1.5708,1.5708,fco
Cl,6.2235,4.4561,8.1785,1.5708,1.5708,1.5708,bco
Ar,5.256,5.256,5.256,1.5708,1.5708,1.5708,fcc
K,5.328,5.328,5.328,1.5708,1.5708,1.5708,bcc
Ca,5.5884,5.5884,5.5884,1.5708,1.5708,1.5708,fcc
Sc,3.309,3.309,5.2733,1.5708,1.5708,2.0944,hcp
Ti,2.9508,2.9508,4.6855,1.5708,1.5708,2.0944,hcp
Ti (hcp),2.9508,2.9508,4.6855,1.5708,1.5708,2.0944,hcp
Ti (bcc),3.25,3.25,3.25,1.5708,1.5708,1.5708,bcc
V,3.03,3.03,3.03,1.5708,1.5708,1.5708,bcc
Cr,2.91,2.91,2.91,1.5708,1.5708,1.5708,bcc
Mn,8.9125,8.9125,8.9125,1.5708,1.5708,1.5708,bcc
Fe,2.8665,2.8665,2.8665,1.5708,1.5708,1.5708,bcc
Fe (bcc),2.8665,2.8665,2.8665,1.5708,1.5708,1.5708,bcc
Fe (fcc),3.62,3.62,3.62,1.5708,1.5708,1.5708,fcc
Co,2.5071,2.5071,4.0695,1.5708,1.5708,2.0944,hcp
Ni,3.524,3.524,3.524,1.5708,1.5708,1.5708,fcc
Cu,3.6149,3.6149,3.6149,1.5708,1.5708,1.5708,fcc
Zn,2.6649,2.6649,4.9468,1.5708,1.5708,2.0944,hcp
Ga,4.5197,7.6633,4.526,1.5708,1.5708,1.5708,bco
Ge,5.6575,5.6575,5.6575,1.5708,1.5708,1.5708,fcc
As,3.7598,3.7598,10.5475,1.5708,1.5708,2.0944,Simple Trigonal
Se,9.054,9.083,11.601,1.5708,1.58493,1.5708,Simple Monoclinic
Br,6.7265,4.6451,8.7023,1.5708,1.5708,1.5708,bco
Kr,5.706,5.706,5.706,1.5708,1.5708,1.5708,fcc
Rb,5.585,5.585,5.585,1.5708,1.5708,1.5708,bcc
Sr,6.0849,6.0849,6.0849,1.5708,1.5708,1.5708,fcc
Y,3.6474,3.6474,5.7306,1.5708,1.5708,2.0944,hcp
Zr,3.232,3.232,5.147,1.5708,1.5708,2.0944,hcp
Nb,3.3004,3.3004,3.3004,1.5708,1.5708,1.5708,bcc
Mo,3.147,3.147,3.147,1.5708,1.5708,1.5708,bcc
Tc,2.735,2.735,4.388,1.5708,1.5708,2.0944,hcp
Ru,2.7059,2.7059,4.2815,1.5708,1.5708,2.0944,hcp
Rh,3.8034,3.8034,3.8034,1.5708,1.5708,1.5708,fcc
Pd,3.8907,3.8907,3.8907,1.5708,1.5708,1.5708,fcc
Ag,4.0853,4.0853,4.0853,1.5708,1.5708,1.5708,fcc
Cd,2.9794,2.9794,5.6186,1.5708,1.5708,2.0944,hcp
In,3.2523,3.2523,4.9461,1.5708,1.5708,1.5708,Centered Tetragonal
Sn,5.8318,5.8318,3.1819,1.5708,1.5708,1.5708,Centered Tetragonal
Sb,4.307,4.307,11.273,1.5708,1.5708,2.0944,Simple Trigonal
Te,4.4572,4.4572,5.929,1.5708,1.5708,2.0944,Simple Trigonal
I,7.1802,4.7102,9.8103,1.5708,1.5708,1.5708,bco
Xe,6.2023,6.2023,6.2023,1.5708,1.5708,1.5708,fcc
Cs,6.141,6.141,6.141,1.5708,1.5708,1.5708,bcc
Ba,5.028,5.028,5.028,1.5708,1.5708,1.5708,bcc
La,3.772,3.772,12.144,1.5708,1.5708,2.0944,hcp
Ce,3.62,3.62,5.99,1.5708,1.5708,2.0944,hcp
Pr,3.6725,3.6725,11.8354,1.5708,1.5708,2.0944,hcp
Nd,3.658,3.658,11.799,1.5708,1.5708,2.0944,hcp
Sm,3.621,3.621,26.25,1.5708,1.5708,2.0944,Simple Trigonal
Eu,4.581,4.581,4.581,1.5708,1.5708,1.5708,bcc
Gd,3.636,3.636,5.7826,1.5708,1.5708,2.0944,hcp
Tb,3.601,3.601,5.6936,1.5708,1.5708,2.0944,hcp
Dy,3.593,3.593,5.6537,1.5708,1.5708,2.0944,hcp
Ho,3.5773,3.5773,5.6158,1.5708,1.5708,2.0944,hcp
Er,3.5588,3.5588,5.5874,1.5708,1.5708,2.0944,hcp
